index,mass_dry,H2O,MgO,MnO,Al2O3,P,Fe,SiO2,TiO2,CaO,Na2O,K2O,DHID,interval_from,interval_to
441,17.29,4.64,0.06,0.11,2.17,0.033,59.65,2.14,0.079,0.02,0.02,0.01,CBS13,31.2,31.5
402,23.18,3.99,0.1,0.26,1.49,0.053,58.62,4.34,0.056,0.04,0.02,0.01,CBS13,31.4,31.7
442,17.14,5.12,0.05,0.11,2.12,0.038,59.62,2.13,0.077,0.02,0.02,0.01,CBS13,31.5,32.05
443,17.37,4.15,0.06,0.14,2.07,0.043,60.16,2.2,0.059,0.02,0.01,0.01,CBS13,32.05,32.2
444,17.18,4.46,0.05,0.12,1.94,0.042,59.88,2.15,0.06,0.02,0.02,0.01,CBS13,32.2,32.5
445,17.09,6.06,0.07,0.21,2.12,0.042,59.41,2.25,0.084,0.03,0.03,0.01,CBS13,32.5,33.05
446,17.81,7.27,0.1,0.3,1.95,0.039,59.49,2.41,0.065,0.03,0.03,0.01,CBS13,33.05,33.5
447,17.35,5.9,0.07,0.24,1.93,0.039,60.18,2.26,0.06,0.03,0.03,0.01,CBS13,33.5,33.75
448,17.52,4.7,0.06,0.22,1.96,0.042,60.57,2.2,0.059,0.03,0.02,0.01,CBS13,33.75,34.25
449,17.69,4.66,0.06,0.2,1.76,0.043,60.92,2.19,0.051,0.03,0.02,0.01,CBS13,34.25,34.55
450,17.65,5.42,0.06,0.17,1.54,0.043,61.30,1.98,0.042,0.02,0.03,0.01,CBS13,34.55,34.8
452,18.15,5.66,0.07,0.19,2.34,0.051,59.12,3.13,0.085,0.04,0.03,0.02,CBS13,34.9,35.25
453,17.61,5.42,0.06,0.18,1.8,0.054,59.53,2.54,0.06,0.03,0.01,0.01,CBS13,35.25,35.8
454,16.91,4.84,0.07,0.19,1.83,0.056,59.57,2.4,0.063,0.03,0.03,0.01,CBS13,35.8,36.0
455,17.41,6.63,0.12,0.37,3.0,0.072,57.49,2.98,0.179,0.04,0.02,0.01,CBS13,36.0,36.5
456,17.63,4.4,0.08,0.2,2.39,0.094,58.67,2.97,0.099,0.04,0.02,0.01,CBS13,36.5,36.85
457,17.560000000000002,5.3,0.07,0.13,1.99,0.082,59.68,2.61,0.082,0.03,0.02,0.01,CBS13,36.85,37.25
458,17.580000000000002,2.44,0.05,0.09,1.45,0.074,60.44,2.24,0.051,0.02,0.0,0.01,CBS13,37.25,37.6
459,17.55,4.56,0.06,0.09,1.5,0.095,59.91,2.36,0.052,0.03,0.02,0.01,CBS13,37.6,38.2
460,17.4,4.72,0.06,0.1,1.55,0.102,59.73,2.55,0.057,0.03,0.02,0.01,CBS13,38.2,38.85
461,17.76,4.34,0.06,0.08,1.58,0.11,59.86,2.43,0.058,0.03,0.03,0.01,CBS13,38.85,39.25
462,16.54,2.76,0.05,0.06,1.41,0.088,60.05,2.29,0.052,0.03,0.02,0.01,CBS13,39.25,39.6
