Unnamed: 0,HOLEID,DEPTH,RL,Method,EAST,NORTH,CollarDip,CollarAzimuth,RigID,TENEMENTID,STARTDATE,ENDDATE,Surveyed
D,CB0044,36.0,424.0,RC,732799.0,7533799.177,-90.0,0.0,DD1,E46/590,14-Dec-04,14-Dec-04,24-Feb-05
D,CB0045,24.0,441.0,RC,742999.0,7530402.022,-90.0,0.0,DD1,E46/590,14-Dec-04,14-Dec-04,24-Feb-05
D,CB0046,30.0,435.0,RC,742999.0,7530000.769,-90.0,0.0,DD1,E46/590,14-Dec-04,14-Dec-04,24-Feb-05
D,CB0047,24.0,433.0,RC,742999.0,7529798.901,-90.0,0.0,DD1,E46/590,14-Dec-04,14-Dec-04,24-Feb-05
D,CB0048,59.0,430.0,RC,742998.0,7529398.981,-90.0,0.0,DD1,E46/590,15-Dec-04,15-Dec-04,24-Feb-05
D,CB0049,48.0,428.0,RC,743001.0,7529197.111,-90.0,0.0,DD1,E46/590,15-Dec-04,15-Dec-04,24-Feb-05
D,CB0050,54.0,426.0,RC,742998.0,7529003.42,-90.0,0.0,DD1,E46/590,15-Dec-04,15-Dec-04,24-Feb-05
D,CB0051,60.0,426.0,RC,743197.0,7529005.721,-90.0,0.0,DD1,E46/590,15-Dec-04,15-Dec-04,24-Feb-05
D,CB0052,42.0,429.0,RC,743600.0,7529002.965,-90.0,0.0,DD1,E46/590,16-Dec-04,16-Dec-04,24-Feb-05
D,CB0053,36.0,431.0,RC,743998.0,7529003.08,-90.0,0.0,DD1,E46/590,16-Dec-04,16-Dec-04,24-Feb-05
D,CB0054,63.0,432.0,RC,744402.0,7528953.243,-90.0,0.0,DD1,E46/590,16-Dec-04,16-Dec-04,24-Feb-05
D,CB0055,30.0,433.0,RC,744798.0,7529002.826,-90.0,0.0,DD1,E46/590,17-Dec-04,17-Dec-04,24-Feb-05
D,CB0056,36.0,436.0,RC,745196.0,7529001.772,-90.0,0.0,DD1,E46/590,17-Dec-04,17-Dec-04,24-Feb-05
D,CB0057,24.0,437.0,RC,745594.0,7529005.191,-90.0,0.0,DD1,E46/590,18-Dec-04,18-Dec-04,24-Feb-05
D,CB0058,24.0,439.0,RC,745999.0,7529002.452,-90.0,0.0,DD1,E46/590,18-Dec-04,18-Dec-04,24-Feb-05
D,CB0059,42.0,427.0,RC,743398.0,7529000.404,-90.0,0.0,DD1,E46/590,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0060,36.0,431.0,RC,742995.0,7529598.816,-90.0,0.0,DD1,E46/590,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0061,24.0,437.0,RC,742997.0,7530201.993,-90.0,0.0,DD1,E46/590,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0062,18.0,449.0,RC,742997.0,7530800.49,-90.0,0.0,DD1,E46/590,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0063,24.0,457.0,RC,742800.0,7530997.263,-90.0,0.0,DD1,E46/590,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0064,39.0,426.0,RC,727998.0,7534591.766,-90.0,0.0,RCD250,E45/2499,14-Jan-05,14-Jan-05,24-Feb-05
D,CB0065,33.0,426.0,RC,728004.0,7534414.345,-90.0,0.0,RCD250,E45/2499,14-Jan-05,14-Jan-05,24-Feb-05
D,CB0066,33.0,425.0,RC,728002.0,7534202.149,-90.0,0.0,RCD250,E45/2499,14-Jan-05,14-Jan-05,24-Feb-05
D,CB0067,63.0,422.0,RC,727193.0,7533398.278,-90.0,0.0,RCD250,E45/2499,15-Jan-05,15-Jan-05,24-Feb-05
D,CB0068,69.0,419.0,RC,727195.0,7532796.267,-90.0,0.0,RCD250,E45/2499,15-Jan-05,16-Jan-05,24-Feb-05
