index,mass_dry,H2O,MgO,MnO,Al2O3,P,Fe,SiO2,TiO2,CaO,Na2O,K2O,DHID,interval_from,interval_to,x,y,z
13,1.8,1.32,0.04,0.0,0.91,0.024,66.05,2.0,0.052,0.02,0.01,0.02,CBS02,31.5,31.9,727599.0,7533998.476,393.3
14,1.8699999999999999,1.0,0.05,0.0,0.87,0.02,66.18,1.95,0.049,0.02,0.01,0.01,CBS02,31.9,32.15,727599.0,7533998.476,392.975
15,1.8499999999999999,0.66,0.06,0.0,0.84,0.017,66.35,2.05,0.047,0.02,0.01,0.02,CBS02,32.15,32.4,727599.0,7533998.476,392.725
16,1.9200000000000002,1.08,0.09,0.0,1.45,0.033,62.99,3.37,0.072,0.03,0.01,0.02,CBS02,32.65,32.95,727599.0,7533998.476,392.20000000000005
17,2.06,0.93,0.08,0.0,1.28,0.04,61.93,2.79,0.056,0.03,0.01,0.01,CBS02,32.95,33.3,727599.0,7533998.476,391.875
18,2.17,0.89,0.06,0.0,1.06,0.029,63.36,2.22,0.048,0.02,0.01,0.01,CBS02,33.3,33.8,727599.0,7533998.476,391.45
19,2.1100000000000003,0.63,0.05,0.0,1.04,0.023,64.00,2.22,0.047,0.03,0.01,0.01,CBS02,33.8,34.1,727599.0,7533998.476,391.04999999999995
20,1.9200000000000002,0.53,0.05,0.0,0.93,0.022,64.75,2.31,0.044,0.02,0.01,0.02,CBS02,34.1,34.5,727599.0,7533998.476,390.7
21,2.21,0.48,0.04,0.0,0.88,0.02,63.93,3.08,0.036,0.02,0.01,0.01,CBS02,34.5,34.75,727599.0,7533998.476,390.375
22,2.22,0.61,0.05,0.0,0.88,0.021,60.65,7.02,0.038,0.02,0.01,0.01,CBS02,34.75,35.0,727599.0,7533998.476,390.125
23,24.29,1.23,0.11,0.0,1.35,0.04,59.43,4.05,0.049,1.49,0.01,0.02,CBS03,8.4,9.0,727205.0,7533996.374,415.3
24,24.0,0.72,0.12,0.0,1.43,0.042,59.51,3.89,0.051,1.37,0.02,0.02,CBS03,9.0,9.6,727205.0,7533996.374,414.7
25,20.18,0.91,0.13,0.0,1.54,0.045,58.70,4.24,0.06,1.88,0.02,0.03,CBS03,9.6,10.1,727205.0,7533996.374,414.15
26,24.33,0.84,0.12,0.0,1.52,0.046,59.70,4.08,0.058,1.32,0.02,0.02,CBS03,10.1,10.5,727205.0,7533996.374,413.7
27,23.28,1.36,0.11,0.0,1.23,0.053,62.54,2.85,0.049,0.22,0.03,0.02,CBS03,10.85,11.4,727205.0,7533996.374,412.875
28,22.23,1.47,0.13,0.0,1.41,0.052,61.98,3.14,0.058,0.16,0.04,0.02,CBS03,11.4,11.9,727205.0,7533996.374,412.35
29,18.6,3.66,0.26,0.0,2.22,0.056,57.07,5.71,0.086,0.3,0.06,0.02,CBS03,12.5,13.0,727205.0,7533996.374,411.25
30,21.5,2.29,0.16,0.0,1.31,0.043,60.35,3.05,0.042,0.1,0.04,0.02,CBS03,13.0,13.55,727205.0,7533996.374,410.725
31,24.75,0.95,0.11,0.19,1.16,0.046,61.13,3.07,0.041,0.06,0.04,0.02,CBS03,13.55,13.9,727205.0,7533996.374,410.275
32,23.089999999999996,0.84,0.11,0.17,1.01,0.045,61.83,2.86,0.034,0.05,0.03,0.01,CBS03,13.9,14.3,727205.0,7533996.374,409.9
33,21.11,0.97,0.05,0.09,1.61,0.028,59.73,4.32,0.052,0.07,0.0,0.02,CBS04,7.5,7.8,726996.0,7534000.652,414.35
34,20.28,1.09,0.06,0.09,1.77,0.03,60.15,3.64,0.061,0.07,0.0,0.02,CBS04,7.8,8.2,726996.0,7534000.652,414.0
35,19.7,1.3,0.06,0.08,1.63,0.041,60.59,2.85,0.057,0.12,0.0,0.01,CBS04,8.2,9.0,726996.0,7534000.652,413.4
36,21.830000000000002,1.25,0.08,0.1,1.57,0.047,60.14,3.05,0.05,0.16,0.0,0.01,CBS04,9.0,9.2,726996.0,7534000.652,412.9
37,20.060000000000002,1.05,0.06,0.09,1.31,0.035,60.79,3.26,0.04,0.13,0.0,0.01,CBS04,9.2,9.5,726996.0,7534000.652,412.65
38,19.76,0.62,0.07,0.11,1.34,0.034,59.74,4.53,0.045,0.16,0.0,0.01,CBS04,9.5,9.9,726996.0,7534000.652,412.3
39,19.91,0.58,0.05,0.09,1.19,0.035,60.30,4.42,0.037,0.17,0.0,0.01,CBS04,9.9,10.5,726996.0,7534000.652,411.8
40,19.740000000000002,0.66,0.06,0.09,1.36,0.037,60.48,3.39,0.05,0.09,0.0,0.01,CBS04,10.5,11.0,726996.0,7534000.652,411.25
41,21.0,0.73,0.11,0.16,1.46,0.039,59.86,3.91,0.053,0.06,0.0,0.01,CBS04,11.0,11.5,726996.0,7534000.652,410.75
42,20.46,0.7,0.11,0.13,1.47,0.038,60.24,3.1,0.053,0.05,0.0,0.01,CBS04,11.5,11.8,726996.0,7534000.652,410.35
43,20.25,0.77,0.2,0.22,1.62,0.043,59.74,3.79,0.07,0.08,0.0,0.02,CBS04,11.8,12.0,726996.0,7534000.652,410.1
44,20.43,0.62,0.11,0.12,1.41,0.049,61.08,2.54,0.056,0.05,0.01,0.01,CBS04,12.0,12.7,726996.0,7534000.652,409.65
45,20.78,0.69,0.12,0.14,1.92,0.043,59.75,3.14,0.061,0.17,0.0,0.01,CBS04,12.7,13.0,726996.0,7534000.652,409.15
46,17.82,0.7,0.11,0.2,1.25,0.037,61.14,2.66,0.041,0.06,0.0,0.01,CBS04,13.0,13.2,726996.0,7534000.652,408.9
47,20.01,0.49,0.1,0.24,1.3,0.038,60.66,2.85,0.045,0.04,0.01,0.01,CBS04,13.2,13.9,726996.0,7534000.652,408.45000000000005
48,20.880000000000003,0.62,0.08,0.11,1.75,0.04,60.50,2.4,0.044,0.05,0.0,0.01,CBS04,14.4,15.0,726996.0,7534000.652,407.3
49,20.66,0.62,0.08,0.1,1.69,0.039,60.19,2.55,0.05,0.05,0.01,0.01,CBS04,15.0,15.4,726996.0,7534000.652,406.8
50,19.18,0.33,0.04,0.09,1.48,0.061,60.80,1.97,0.038,0.03,0.01,0.01,CBS10,14.3,14.85,726000.0,7534993.174,405.42499999999995
51,19.75,0.39,0.04,0.12,1.56,0.068,60.34,2.31,0.04,0.04,0.01,0.01,CBS10,15.15,15.5,726000.0,7534993.174,404.675
52,19.7,0.51,0.03,0.12,1.51,0.069,60.60,2.19,0.043,0.04,0.01,0.01,CBS10,15.5,16.0,726000.0,7534993.174,404.25
53,23.240000000000002,0.33,0.04,0.13,1.68,0.07,60.26,2.34,0.045,0.09,0.01,0.01,CBS10,16.0,16.4,726000.0,7534993.174,403.8
54,18.68,0.38,0.04,0.13,1.49,0.071,60.61,2.04,0.032,0.04,0.01,0.01,CBS10,16.4,16.9,726000.0,7534993.174,403.35
55,19.150000000000002,0.49,0.05,0.14,1.69,0.072,60.62,2.31,0.037,0.07,0.01,0.01,CBS10,16.9,17.3,726000.0,7534993.174,402.9
56,19.97,0.34,0.05,0.16,1.77,0.078,60.45,2.34,0.054,0.05,0.02,0.01,CBS10,17.3,17.5,726000.0,7534993.174,402.6
57,25.2,0.79,0.05,0.2,2.01,0.084,60.08,2.47,0.131,0.05,0.02,0.02,CBS10,17.5,17.8,726000.0,7534993.174,402.35
58,17.32,0.99,0.05,0.04,4.03,0.035,58.70,5.76,0.054,0.18,0.02,0.02,CBS10,20.7,21.3,726000.0,7534993.174,399.0
59,17.25,0.86,0.06,0.04,3.26,0.034,60.47,4.93,0.052,0.14,0.02,0.01,CBS10,21.3,21.5,726000.0,7534993.174,398.6
60,16.97,0.73,0.04,0.03,1.68,0.027,62.60,4.26,0.07,0.07,0.02,0.03,CBS10,21.5,22.0,726000.0,7534993.174,398.25
61,17.19,0.67,0.04,0.03,1.1,0.032,64.81,2.4,0.035,0.04,0.01,0.01,CBS10,22.0,22.4,726000.0,7534993.174,397.8
62,17.34,0.76,0.06,0.04,2.41,0.05,60.80,3.9,0.088,0.04,0.02,0.01,CBS10,22.4,22.85,726000.0,7534993.174,397.375
63,17.27,0.87,0.06,0.05,3.55,0.072,58.81,4.59,0.156,0.04,0.02,0.01,CBS10,22.85,23.25,726000.0,7534993.174,396.95
64,18.18,0.58,0.04,0.03,1.4,0.051,63.17,2.2,0.054,0.03,0.01,0.01,CBS10,23.25,23.8,726000.0,7534993.174,396.475
65,18.3,0.56,0.03,0.03,1.21,0.048,63.70,2.25,0.044,0.02,0.01,0.01,CBS10,23.8,24.3,726000.0,7534993.174,395.95
66,25.07,1.38,0.17,0.37,4.55,0.02,57.31,4.33,0.259,0.1,0.03,0.02,CBS12,16.0,16.4,725598.0,7535000.663,401.8
67,19.57,0.96,0.12,0.24,2.47,0.018,59.57,3.27,0.125,0.09,0.02,0.01,CBS12,16.4,16.7,725598.0,7535000.663,401.45000000000005
68,16.84,1.04,0.11,0.18,2.07,0.019,59.99,3.16,0.083,0.08,0.01,0.01,CBS12,16.7,17.05,725598.0,7535000.663,401.125
69,16.55,0.82,0.13,0.15,2.03,0.022,59.91,2.84,0.058,0.07,0.01,0.01,CBS12,17.45,17.8,725598.0,7535000.663,400.375
70,16.5,0.94,0.12,0.13,2.08,0.022,59.67,3.51,0.073,0.09,0.01,0.03,CBS12,17.8,17.95,725598.0,7535000.663,400.125
71,17.18,0.77,0.09,0.11,1.71,0.02,60.15,2.9,0.057,0.06,0.02,0.02,CBS12,17.95,18.2,725598.0,7535000.663,399.925
72,17.37,0.82,0.07,0.12,1.5,0.018,60.26,2.74,0.055,0.05,0.01,0.02,CBS12,18.2,18.55,725598.0,7535000.663,399.625
73,17.43,0.8,0.07,0.35,1.41,0.022,61.87,2.46,0.038,0.04,0.01,0.02,CBS12,19.05,19.5,725598.0,7535000.663,398.725
74,17.3,0.78,0.08,0.35,1.44,0.024,61.96,2.12,0.04,0.04,0.01,0.01,CBS12,19.5,20.0,725598.0,7535000.663,398.25
75,17.63,0.91,0.08,0.32,1.51,0.025,62.01,1.81,0.041,0.04,0.01,0.01,CBS12,20.0,20.4,725598.0,7535000.663,397.8
76,17.919999999999998,1.05,0.07,0.19,1.21,0.028,62.56,1.61,0.03,0.03,0.01,0.01,CBS12,20.4,21.05,725598.0,7535000.663,397.275
77,17.87,0.95,0.08,0.16,1.49,0.032,60.93,2.25,0.051,0.04,0.01,0.01,CBS12,21.45,21.8,725598.0,7535000.663,396.375
78,18.04,1.16,0.07,0.15,1.88,0.032,60.11,3.11,0.058,0.05,0.01,0.02,CBS12,21.8,22.05,725598.0,7535000.663,396.075
79,17.4,1.44,0.07,0.15,1.66,0.035,61.03,2.27,0.048,0.03,0.01,0.01,CBS12,22.05,22.6,725598.0,7535000.663,395.67499999999995
80,17.11,2.75,0.08,0.17,2.22,0.04,60.14,2.66,0.062,0.03,0.01,0.02,CBS12,22.6,23.1,725598.0,7535000.663,395.15
81,17.57,3.14,0.06,0.17,2.11,0.039,60.84,2.08,0.057,0.03,0.01,0.01,CBS12,23.1,23.6,725598.0,7535000.663,394.65
82,17.43,3.13,0.06,0.16,1.56,0.038,61.76,1.75,0.042,0.03,0.01,0.01,CBS12,23.6,24.1,725598.0,7535000.663,394.15
83,17.580000000000002,4.53,0.06,0.18,1.42,0.039,61.48,1.62,0.047,0.02,0.01,0.01,CBS12,24.1,24.7,725598.0,7535000.663,393.6
84,18.07,4.02,0.05,0.15,1.21,0.038,61.83,1.51,0.044,0.02,0.01,0.01,CBS12,24.7,25.1,725598.0,7535000.663,393.1
85,17.38,4.73,0.12,0.47,2.33,0.041,58.81,2.85,0.076,0.05,0.03,0.01,CBS12,25.55,25.9,725598.0,7535000.663,392.275
86,17.880000000000003,4.65,0.07,0.23,1.46,0.035,60.88,1.97,0.055,0.03,0.02,0.01,CBS12,26.3,26.75,725598.0,7535000.663,391.475
87,16.02,3.32,0.06,0.21,1.32,0.039,61.87,1.91,0.037,0.03,0.02,0.01,CBS12,26.75,27.1,725598.0,7535000.663,391.075
88,17.178,2.57,0.06,0.17,1.15,0.04,62.30,1.86,0.042,0.02,0.02,0.01,CBS12,27.1,27.5,725598.0,7535000.663,390.7
89,17.03,2.01,0.07,0.19,1.28,0.045,61.84,2.02,0.05,0.03,0.02,0.01,CBS12,27.5,27.7,725598.0,7535000.663,390.4
90,17.01,5.32,0.13,0.37,1.54,0.046,60.01,2.33,0.045,0.03,0.04,0.01,CBS12,27.7,28.0,725598.0,7535000.663,390.15
91,16.84,5.03,0.15,0.4,2.72,0.051,58.27,3.18,0.112,0.04,0.03,0.02,CBS12,28.0,28.6,725598.0,7535000.663,389.7
92,17.3,3.82,0.11,0.64,1.81,0.05,59.82,2.49,0.061,0.04,0.03,0.03,CBS12,29.4,29.75,725598.0,7535000.663,388.425
93,16.9,4.23,0.1,0.4,1.58,0.054,60.21,2.37,0.059,0.04,0.03,0.02,CBS12,29.75,30.2,725598.0,7535000.663,388.025
94,19.02,3.53,0.05,0.07,2.52,0.026,60.19,2.38,0.086,0.02,0.02,0.01,CBS13,28.25,28.45,725394.0,7535000.94,388.65
95,17.49,4.22,0.05,0.09,2.49,0.024,60.44,2.57,0.091,0.03,0.01,0.01,CBS13,28.45,28.9,725394.0,7535000.94,388.32500000000005
96,17.41,3.54,0.05,0.1,1.96,0.022,61.37,2.16,0.069,0.02,0.01,0.01,CBS13,28.9,29.25,725394.0,7535000.94,387.925
97,17.69,3.94,0.05,0.1,2.2,0.028,60.24,2.2,0.071,0.02,0.01,0.01,CBS13,29.25,29.55,725394.0,7535000.94,387.6
98,17.75,3.82,0.06,0.14,2.46,0.029,59.41,2.37,0.098,0.02,0.01,0.01,CBS13,29.55,30.05,725394.0,7535000.94,387.2
99,17.12,5.2,0.06,0.16,2.36,0.029,59.35,2.19,0.089,0.02,0.01,0.01,CBS13,30.05,30.35,725394.0,7535000.94,386.79999999999995
100,17.830000000000002,4.65,0.06,0.17,2.25,0.031,60.12,2.0,0.098,0.02,0.01,0.01,CBS13,30.35,30.7,725394.0,7535000.94,386.475
101,17.22,3.89,0.09,0.2,1.23,0.049,60.74,1.97,0.042,0.03,0.03,0.01,CBS13,30.5,31.0,725394.0,7535000.94,386.25
102,18.05,4.33,0.06,0.14,2.23,0.033,59.82,2.22,0.075,0.02,0.01,0.01,CBS13,30.7,31.2,725394.0,7535000.94,386.05
103,16.84,5.01,0.11,0.33,1.47,0.054,59.70,2.75,0.061,0.03,0.02,0.01,CBS13,31.0,31.4,725394.0,7535000.94,385.8
104,17.29,4.64,0.06,0.11,2.17,0.033,59.65,2.14,0.079,0.02,0.02,0.01,CBS13,31.2,31.5,725394.0,7535000.94,385.65
105,23.18,3.99,0.1,0.26,1.49,0.053,58.62,4.34,0.056,0.04,0.02,0.01,CBS13,31.4,31.7,725394.0,7535000.94,385.45000000000005
106,17.14,5.12,0.05,0.11,2.12,0.038,59.62,2.13,0.077,0.02,0.02,0.01,CBS13,31.5,32.05,725394.0,7535000.94,385.225
107,17.37,4.15,0.06,0.14,2.07,0.043,60.16,2.2,0.059,0.02,0.01,0.01,CBS13,32.05,32.2,725394.0,7535000.94,384.875
108,17.18,4.46,0.05,0.12,1.94,0.042,59.88,2.15,0.06,0.02,0.02,0.01,CBS13,32.2,32.5,725394.0,7535000.94,384.65
109,17.09,6.06,0.07,0.21,2.12,0.042,59.41,2.25,0.084,0.03,0.03,0.01,CBS13,32.5,33.05,725394.0,7535000.94,384.225
110,17.81,7.27,0.1,0.3,1.95,0.039,59.49,2.41,0.065,0.03,0.03,0.01,CBS13,33.05,33.5,725394.0,7535000.94,383.725
111,17.35,5.9,0.07,0.24,1.93,0.039,60.18,2.26,0.06,0.03,0.03,0.01,CBS13,33.5,33.75,725394.0,7535000.94,383.375
112,17.52,4.7,0.06,0.22,1.96,0.042,60.57,2.2,0.059,0.03,0.02,0.01,CBS13,33.75,34.25,725394.0,7535000.94,383.0
113,17.69,4.66,0.06,0.2,1.76,0.043,60.92,2.19,0.051,0.03,0.02,0.01,CBS13,34.25,34.55,725394.0,7535000.94,382.6
114,17.65,5.42,0.06,0.17,1.54,0.043,61.30,1.98,0.042,0.02,0.03,0.01,CBS13,34.55,34.8,725394.0,7535000.94,382.325
115,18.15,5.66,0.07,0.19,2.34,0.051,59.12,3.13,0.085,0.04,0.03,0.02,CBS13,34.9,35.25,725394.0,7535000.94,381.925
116,17.61,5.42,0.06,0.18,1.8,0.054,59.53,2.54,0.06,0.03,0.01,0.01,CBS13,35.25,35.8,725394.0,7535000.94,381.475
117,16.91,4.84,0.07,0.19,1.83,0.056,59.57,2.4,0.063,0.03,0.03,0.01,CBS13,35.8,36.0,725394.0,7535000.94,381.1
118,17.41,6.63,0.12,0.37,3.0,0.072,57.49,2.98,0.179,0.04,0.02,0.01,CBS13,36.0,36.5,725394.0,7535000.94,380.75
119,17.63,4.4,0.08,0.2,2.39,0.094,58.67,2.97,0.099,0.04,0.02,0.01,CBS13,36.5,36.85,725394.0,7535000.94,380.325
120,17.560000000000002,5.3,0.07,0.13,1.99,0.082,59.68,2.61,0.082,0.03,0.02,0.01,CBS13,36.85,37.25,725394.0,7535000.94,379.95
121,17.580000000000002,2.44,0.05,0.09,1.45,0.074,60.44,2.24,0.051,0.02,0.0,0.01,CBS13,37.25,37.6,725394.0,7535000.94,379.575
122,17.55,4.56,0.06,0.09,1.5,0.095,59.91,2.36,0.052,0.03,0.02,0.01,CBS13,37.6,38.2,725394.0,7535000.94,379.1
123,17.4,4.72,0.06,0.1,1.55,0.102,59.73,2.55,0.057,0.03,0.02,0.01,CBS13,38.2,38.85,725394.0,7535000.94,378.475
124,17.76,4.34,0.06,0.08,1.58,0.11,59.86,2.43,0.058,0.03,0.03,0.01,CBS13,38.85,39.25,725394.0,7535000.94,377.95
125,16.54,2.76,0.05,0.06,1.41,0.088,60.05,2.29,0.052,0.03,0.02,0.01,CBS13,39.25,39.6,725394.0,7535000.94,377.575
